# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

i 2 1056 0 0 24393 4073
b 3 0 1056 0 1383 711
b 3 0 1056 0 1343 740
p 2 0 896 160 5130 1172
b 3 0 1056 0 1639 745
b 3 0 1056 0 1820 765
p 2 0 902 154 6635 1227
b 3 0 1056 0 1035 565
b 3 0 1056 0 874 578
p 2 0 912 144 6184 1219
b 3 0 1056 0 1268 805
b 3 0 1056 0 1288 733
p 2 0 994 62 6411 1306
b 3 0 1056 0 1302 613
b 3 0 1056 0 1324 651
p 2 0 932 124 6255 1274
b 3 0 1056 0 1005 611
b 3 0 1056 0 1281 677
p 2 0 984 72 7228 1298
b 3 0 1056 0 891 609
b 3 0 1056 0 941 652
p 2 0 986 70 8579 1403
b 3 0 1056 0 957 695
b 3 0 1056 0 943 716
p 2 0 1035 21 9268 1456
b 3 0 1056 0 1020 616
b 3 0 1056 0 1049 672
p 2 0 1024 32 7892 1380
b 3 0 1056 0 795 616
b 3 0 1056 0 949 721
p 2 0 997 59 6891 1332
b 3 0 1056 0 931 745
b 3 0 1056 0 1094 719
p 2 0 1011 45 7036 1324
b 3 0 1056 0 1353 679
b 3 0 1056 0 1640 881
p 2 0 1040 16 6359 1390
b 3 0 1056 0 1519 732
b 3 0 1056 0 1792 872
p 2 0 1033 23 7831 1380
b 3 0 1056 0 1206 688
b 3 0 1056 0 1587 833
p 2 0 1043 13 6646 1362
b 3 0 1056 0 1176 736
b 3 0 1056 0 1229 730
p 2 0 956 100 5951 1289
b 3 0 1056 0 1179 740
b 3 0 1056 0 1230 776
p 2 0 1027 29 6870 1387
b 3 0 1056 0 882 586
b 3 0 1056 0 890 658
p 2 0 931 125 6580 1273
b 3 0 1056 0 1283 743
b 3 0 1056 0 1506 773
p 2 0 1016 40 5933 1349
b 3 0 1056 0 1347 671
b 3 0 1056 0 1566 753
p 2 0 1019 37 7062 1337
b 3 0 1056 0 1496 710
b 3 0 1056 0 1640 825
p 2 0 1050 6 6533 1423
b 3 0 1056 0 1290 713
b 3 0 1056 0 1187 844
p 2 0 1011 45 7379 1361
b 3 0 1056 0 1022 759
b 3 0 1056 0 1369 825
p 2 0 999 57 6410 1327
b 3 0 1056 0 1760 746
b 3 0 1056 0 1683 816
p 2 0 975 81 6192 1311
b 3 0 1056 0 1499 870
b 3 0 1056 0 1705 944
p 2 0 1002 54 6579 1334
b 3 0 1056 0 1077 702
b 3 0 1056 0 1280 763
p 2 0 1010 46 6375 1303
b 3 0 1056 0 1123 780
b 3 0 1056 0 912 764
p 2 0 1046 10 7719 1351
b 3 0 1056 0 856 612
b 3 0 1056 0 914 669
p 2 0 1043 13 7003 1378
b 3 0 1056 0 1341 753
b 3 0 1056 0 1378 790
p 2 0 1048 8 9149 1407
b 3 0 1056 0 1732 868
b 3 0 1056 0 1671 773
p 2 14 1027 15 8561 1555
b 3 0 1056 0 1540 890
b 3 0 1056 0 1496 914
p 2 7 1024 25 8236 1492
b 3 0 1056 0 1272 758
b 3 0 1056 0 1375 829
p 2 0 1018 38 8688 1455
b 3 0 1056 0 1316 724
b 3 0 1056 0 1421 796
p 2 0 1042 14 7339 1409
b 3 0 1056 0 1615 800
b 3 0 1056 0 1668 898
p 2 0 1028 28 9005 1359
b 3 0 1056 0 1494 870
b 3 0 1056 0 1618 891
p 2 0 996 60 7906 1339
b 3 0 1056 0 1173 658
b 3 0 1056 0 1085 610
p 2 0 911 145 6474 1245
b 3 0 1056 0 907 761
b 3 0 1056 0 983 805
p 2 0 958 98 4927 1250
b 3 0 1056 0 1074 601
b 3 0 1056 0 900 590
p 2 0 857 199 4960 1198
b 3 0 1056 0 896 650
b 3 0 1056 0 951 695
p 2 0 867 189 5206 1214
b 3 0 1056 0 837 577
b 3 0 1056 0 855 519
p 2 0 848 208 5182 1188
b 3 0 1056 0 1316 797
b 3 0 1056 0 1251 760
p 2 0 949 107 7090 1275
b 3 0 1056 0 932 551
b 3 0 1056 0 1076 625
p 2 0 930 126 7097 1240
b 3 0 1056 0 1257 652
b 3 0 1056 0 1256 681
p 2 0 876 180 6848 1260
b 3 0 1056 0 1212 614
b 3 0 1056 0 1441 787
p 2 0 963 93 7870 1342
b 3 0 1056 0 1062 748
b 3 0 1056 0 1291 790
p 2 0 1005 51 7170 1336
b 3 0 1056 0 1221 692
b 3 0 1056 0 1572 706
p 2 0 984 72 6576 1299
b 3 0 1056 0 949 665
b 3 0 1056 0 1232 758
p 2 0 967 89 6828 1293
b 3 0 1056 0 1046 628
b 3 0 1056 0 988 646
p 2 0 915 141 6602 1237
b 3 0 1056 0 888 692
b 3 0 1056 0 951 716
p 2 0 956 100 5796 1256
b 3 0 1056 0 709 494
b 3 0 1056 0 833 570
p 2 0 909 147 6179 1234
b 3 0 1056 0 712 553
b 3 0 1056 0 860 617
p 2 0 911 145 5374 1230
b 3 0 1056 0 607 460
b 3 0 1056 0 736 560
p 2 0 972 84 5906 1243
b 3 0 1056 0 953 540
b 3 0 1056 0 990 642
p 2 0 1043 13 8076 1434
b 3 0 1056 0 1352 753
b 3 0 1056 0 1581 915
p 2 3 1036 17 9085 1475
b 3 0 1056 0 1337 748
b 3 0 1056 0 1744 956
p 2 0 1034 22 9389 1496
b 3 0 1056 0 948 649
b 3 0 1056 0 1013 752
p 2 0 1013 43 7663 1389
b 3 0 1056 0 961 740
b 3 0 1056 0 915 687
p 2 0 1028 28 6855 1371
b 3 0 1056 0 785 725
b 3 0 1056 0 687 620
p 2 0 1031 25 6086 1348
b 3 0 1056 0 1009 757
b 3 0 1056 0 875 669
p 2 0 1038 18 7797 1373
b 3 0 1056 0 2390 1158
b 3 0 1056 0 1926 1024
p 2 0 1049 7 6644 1373
b 3 0 1056 0 1498 902
b 3 0 1056 0 1341 1013
p 2 0 1019 37 7919 1384
b 3 0 1056 0 597 549
b 3 0 1056 0 693 563
p 2 0 957 99 5331 1296
b 3 0 1056 0 626 598
b 3 0 1056 0 671 647
p 2 0 988 68 6009 1293
b 3 0 1056 0 597 558
b 3 0 1056 0 589 581
p 2 0 1037 19 6606 1414
b 3 0 1056 0 895 735
b 3 0 1056 0 909 759
p 2 40 1009 7 8515 1588
b 3 0 1056 0 1010 686
b 3 0 1056 0 1041 688
p 2 0 1023 33 7696 1442
b 3 0 1056 0 977 629
b 3 0 1056 0 1088 738
p 2 0 1026 30 7436 1435
b 3 0 1056 0 996 627
b 3 0 1056 0 1305 780
p 2 0 1039 17 7668 1351
b 3 0 1056 0 518 473
b 3 0 1056 0 729 632
p 2 0 1047 9 6982 1397
b 3 0 1056 0 1035 756
b 3 0 1056 0 1062 791
p 2 0 1021 35 7269 1365
b 3 0 1056 0 1625 822
b 3 0 1056 0 1679 926
p 2 0 1017 39 7794 1429
b 3 0 1056 0 1438 806
b 3 0 1056 0 1780 887
p 2 0 992 64 8939 1439
b 3 0 1056 0 2446 1028
b 3 0 1056 0 3016 1115
p 2 33 992 31 10314 1680
b 3 0 1056 0 4029 1239
b 3 0 1056 0 3696 1223
p 2 43 966 47 13242 1834
b 3 0 1056 0 3039 1174
b 3 0 1056 0 2964 1163
p 2 11 994 51 12915 1773
b 3 0 1056 0 2621 1077
b 3 0 1056 0 2647 1028
p 2 1 962 93 12293 1639
b 3 0 1056 0 2580 1110
b 3 0 1056 0 2801 1174
p 2 0 1012 44 11729 1589
b 3 0 1056 0 2388 957
b 3 0 1056 0 2165 952
p 2 0 978 78 9992 1451
b 3 0 1056 0 2116 899
b 3 0 1056 0 2402 1031
p 2 0 1024 32 10185 1448
b 3 0 1056 0 2300 939
b 3 0 1056 0 2273 963
p 2 1 1004 51 10687 1514
b 3 0 1056 0 1836 967
b 3 0 1056 0 1841 1020
p 2 1 992 63 10955 1528
b 3 0 1056 0 2546 1068
b 3 0 1056 0 2759 1114
p 2 67 912 77 9964 1747
b 3 0 1056 0 3370 1130
p 2 73 884 99 11530 1860
b 3 0 1056 0 3623 1671
p 2 57 934 65 13683 2015
b 3 0 1056 0 3271 1518
p 2 34 909 113 13764 2068
b 3 0 1056 0 3389 1622
b 3 0 1056 0 3511 1522
p 2 100 941 15 17537 2418
b 3 0 1056 0 3166 1537
b 3 0 1056 0 3347 1454
p 2 38 999 19 16546 2089
b 3 0 1056 0 2841 1369
b 3 0 1056 0 2604 1150
p 2 12 1029 15 17240 1939
b 3 0 1056 0 2237 1215
b 3 0 1056 0 2369 1184
p 2 4 995 57 16523 1654
b 3 0 1056 0 1824 1026
b 3 0 1056 0 2090 1064
p 2 0 1041 15 16876 1632
b 3 0 1056 0 1612 922
b 3 0 1056 0 1868 1012
p 2 0 1010 46 16179 1434
b 3 0 1056 0 1573 819
b 3 0 1056 0 1814 934
p 2 0 1020 36 16166 1369
b 3 0 1056 0 1934 945
b 3 0 1056 0 2278 1011
p 2 0 1016 40 16387 1392
b 3 0 1056 0 3655 1288
b 3 0 1056 0 3221 1263
p 2 67 982 7 20878 1920
b 3 0 1056 0 3593 1533
p 2 60 989 7 19469 1966
b 3 0 1056 0 5333 2003
b 3 0 1056 0 4879 1832
p 2 74 982 0 21056 2200
b 3 0 1056 0 6518 2123
b 3 0 1056 0 6487 2127
p 2 76 974 6 22281 2339
b 3 0 1056 0 6154 2271
b 3 0 1056 0 5987 2213
p 2 35 1020 1 20428 2406
b 3 0 1056 0 5964 2088
b 3 0 1056 0 5811 2242
p 2 32 1016 8 17455 2330
b 3 0 1056 0 5728 2054
b 3 0 1056 0 5538 1958
p 2 58 969 29 15399 2367
b 3 0 1056 0 4849 2043
b 3 0 1056 0 3999 1780
p 2 33 985 38 12790 2133
b 3 0 1056 0 2782 1496
b 3 0 1056 0 2625 1342
p 2 1 1033 22 10369 1929
i 2 1056 0 0 22766 4062
b 3 0 1056 0 1614 843
b 3 0 1056 0 1805 988
p 2 0 1036 20 8338 1581
b 3 0 1056 0 1863 996
b 3 0 1056 0 1922 1017
p 2 0 1023 33 8411 1474
b 3 0 1056 0 1552 824
b 3 0 1056 0 1652 913
p 2 0 1036 20 8718 1406
b 3 0 1056 0 1602 918
b 3 0 1056 0 1588 973
p 2 0 1045 11 7206 1493
b 3 0 1056 0 1368 861
b 3 0 1056 0 1424 889
p 2 0 1026 30 7621 1476
b 3 0 1056 0 1410 863
b 3 0 1056 0 1688 1005
p 2 0 1034 22 8545 1546
b 3 0 1056 0 1445 863
b 3 0 1056 0 1505 896
p 2 0 1015 41 8263 1484
b 3 0 1056 0 1402 913
b 3 0 1056 0 1489 954
p 2 0 1046 10 8446 1570
b 3 0 1056 0 1502 948
b 3 0 1056 0 1778 1031
p 2 3 1016 37 9528 1547
b 3 0 1056 0 1666 934
b 3 0 1056 0 1733 983
p 2 0 1003 53 8549 1482
b 3 0 1056 0 1689 861
b 3 0 1056 0 1774 877
p 2 0 1002 54 8555 1445
b 3 0 1056 0 1500 885
b 3 0 1056 0 1500 856
p 2 2 1038 16 9905 1539
b 3 0 1056 0 937 731
b 3 0 1056 0 1179 948
p 2 1 1032 23 9053 1513
b 3 0 1056 0 1030 657
b 3 0 1056 0 1414 939
p 2 0 1046 10 7985 1490
b 3 0 1056 0 912 726
b 3 0 1056 0 1168 893
p 2 0 1041 15 7796 1410
b 3 0 1056 0 1064 773
b 3 0 1056 0 1168 835
p 2 0 1035 21 6584 1421
b 3 0 1056 0 753 605
b 3 0 1056 0 826 673
p 2 0 973 83 5867 1318
b 3 0 1056 0 691 637
b 3 0 1056 0 915 802
p 2 0 1002 54 5884 1340
b 3 0 1056 0 641 582
b 3 0 1056 0 713 670
p 2 0 979 77 5836 1289
b 3 0 1056 0 1001 760
b 3 0 1056 0 1191 761
p 2 0 1037 19 6678 1412
b 3 0 1056 0 1197 753
b 3 0 1056 0 1317 750
p 2 0 1007 49 7942 1394
b 3 0 1056 0 1210 818
b 3 0 1056 0 1309 815
p 2 0 1014 42 6698 1375
b 3 0 1056 0 1114 684
b 3 0 1056 0 970 693
