250;0.000000;0.000000;-107374176.000000;-107374176.000000;-107374176.000000;-1.#IND00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00
500;0.000000;0.000000;-107374176.000000;-107374176.000000;-107374176.000000;-1.#IND00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00
812;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;140.000000;170.000000;140.000000;150.000000;140.000000;210.000000;140.000000;190.000000;140.000000;160.000000;140.000000;200.000000;144.000000;160.000000;136.000000;160.000000;145.000000;200.000000;135.000000;200.000000;182.000000;165.000000;182.000000;194.000000;183.000000;179.000000;181.000000;179.000000;133.000000;170.000000;125.000000;150.000000;130.000000;210.000000;126.000000;190.000000;164.000000;180.000000
859;-14.175297;0.000000;-0.035010;-0.015526;1.125000;-9.153783;140.379059;169.599564;140.392548;149.568909;139.717926;209.531525;140.221802;189.585297;141.400391;160.621048;134.161560;205.567688;144.407486;159.584229;136.400665;159.584229;144.717926;199.558411;135.180038;199.558411;182.000000;164.996857;182.000000;193.924698;183.326492;178.915497;181.364120;178.961029;133.398056;169.552505;125.409218;149.488525;130.153748;209.409775;126.265846;189.502014;164.385025;179.981857
906;-20.027187;0.000000;-0.040987;0.024633;1.275000;-14.939054;140.635406;168.986206;140.628937;149.018097;139.855850;209.091461;140.431885;189.015030;141.639465;159.014679;128.309540;209.001678;144.649368;159.002151;136.663712;159.002151;144.902557;199.053253;135.348328;199.053253;182.000000;164.740463;182.000000;193.674957;182.876450;175.192108;181.462296;178.712326;133.655029;168.941132;125.709259;148.921417;130.297058;208.955948;126.434273;188.871231;164.597946;179.664398
937;-33.613525;0.000000;-0.025852;0.013597;1.400000;-15.331282;140.975159;168.325424;140.379776;148.521545;139.606689;208.546967;140.579681;188.367218;141.034088;159.456116;126.060379;214.102676;145.041168;158.423492;137.061096;158.423492;144.653397;198.457092;135.099167;198.457092;181.000000;164.335464;181.000000;193.352905;181.822952;170.443939;181.863403;178.286987;134.009872;168.235458;126.142265;148.270615;130.367325;208.130356;126.588829;188.096344;164.858246;179.225662
984;-35.740257;0.000000;-0.058224;0.031393;1.475000;-20.155003;141.235321;167.552368;140.670502;147.950165;139.403748;208.064514;140.739960;187.614502;142.328949;158.744278;121.857437;214.550110;145.343094;157.751266;137.365768;157.751266;144.784164;197.839508;135.256821;197.839508;182.000000;164.119553;182.000000;193.177963;182.480194;172.621719;181.904495;178.113892;134.257568;167.437378;126.385033;147.580612;130.466019;207.565918;126.741890;187.265518;165.019226;179.010773
1015;-32.013805;0.000000;-0.062496;0.074047;1.450000;-17.269129;141.398499;166.807098;140.793503;147.364151;139.516754;207.527130;140.893631;186.874634;142.499847;157.038132;125.101448;213.034332;145.518158;157.085632;137.556671;157.085632;144.945648;197.200882;135.421646;197.200882;181.000000;163.650635;181.000000;192.838730;181.104950;168.257706;182.172836;177.609787;134.449142;166.669510;126.547127;146.890091;130.549438;206.827637;126.898460;186.418213;165.184525;178.484100
1046;-44.010780;0.000000;-0.062783;0.073975;1.575000;-12.201194;141.409973;166.809967;140.804977;147.367020;139.528229;207.529999;140.878769;186.877502;142.511322;157.041000;129.112915;219.037201;145.529633;157.088486;137.568146;157.088486;144.926682;197.203751;135.433121;197.203751;181.000000;163.735214;181.000000;192.884476;181.726654;170.125732;182.167664;177.683624;134.442062;166.668564;126.532417;146.888733;130.523941;206.848099;126.878891;186.423599;165.202057;178.581604
1093;-34.828320;0.000000;-0.071090;0.063933;1.450000;-19.917887;141.690231;166.024643;141.150833;146.845413;139.804947;206.917282;141.080154;186.071838;142.843582;157.442688;122.859047;212.625916;145.854767;156.435028;137.906326;156.435028;145.129349;196.494568;135.686905;196.494568;182.000000;163.285416;182.000000;192.538742;183.771988;176.965607;182.155914;177.253754;134.755997;165.850067;126.889565;146.191132;130.784851;206.096313;127.059280;185.520508;165.193100;178.142532
1140;-35.006763;0.000000;-0.077559;0.079491;1.475000;-21.812330;141.930161;165.333710;141.416260;146.278244;139.953720;206.452347;141.267914;185.385513;143.102341;156.820343;120.994408;212.090561;146.118256;155.805969;138.174088;155.805969;145.305740;195.918930;135.883453;195.918930;181.000000;162.887192;181.000000;192.225311;181.232269;166.925598;182.249588;176.858215;134.980927;165.130951;127.121727;145.548752;130.936661;205.479584;127.187599;184.751450;165.331650;177.700943
1171;-33.125816;0.000000;-0.081760;0.091080;1.400000;-16.870747;142.097778;164.835663;141.569229;145.899979;140.084808;206.018158;141.432449;184.860092;143.270386;156.356781;126.809753;210.663895;146.276505;155.367828;138.355362;155.367828;145.482086;195.439117;136.050247;195.439117;181.000000;162.540482;181.000000;192.004593;180.492554;164.939438;182.448395;176.535828;135.172058;164.607315;127.276917;145.122635;131.070511;204.946747;127.394997;184.143768;165.532623;177.313309
1203;-35.137810;0.000000;-0.082548;0.077287;1.375000;-17.134220;142.046066;164.286316;141.597336;145.592178;140.156342;205.736755;141.481232;184.320587;143.301926;156.908524;126.865295;210.252029;146.311584;154.939240;138.411850;154.939240;145.567688;195.028671;135.998535;195.028671;182.000000;162.039444;182.000000;191.762283;181.888092;168.923889;182.451920;176.129211;135.198364;164.049286;127.312874;144.696289;131.156036;204.553574;127.517845;183.626526;165.554245;176.861389
1234;-34.960629;0.000000;-0.072730;0.079328;1.425000;-16.736914;142.126755;163.954575;141.643860;145.392410;140.196213;205.398605;141.607697;183.985397;143.386719;155.613327;126.788155;210.839661;146.400955;154.673492;138.507599;154.673492;145.665680;194.692001;136.070343;194.692001;182.000000;161.879272;182.000000;191.645538;181.839508;168.766052;182.485916;175.941086;135.264191;163.710281;127.318695;144.491028;131.176102;204.177597;127.559837;183.209518;165.631348;176.666351
1265;-46.976173;0.000000;-0.076128;0.086133;1.550000;-12.541161;142.121445;163.972031;141.651733;145.406677;140.204086;205.413803;141.615570;184.004120;143.394592;155.627335;129.780029;216.862564;146.408829;154.689362;138.502457;154.689362;145.673553;194.708954;136.062103;194.708954;182.000000;161.928909;182.000000;191.689514;181.957672;169.153320;182.482010;175.980057;135.260406;163.717621;127.317032;144.490540;131.170807;204.204163;127.553574;183.212265;165.603958;176.768494
1296;-37.373596;0.000000;-0.078340;0.091922;1.425000;-16.749584;142.086960;163.972122;141.617249;145.406784;140.169601;205.413895;141.581085;184.004211;143.360107;155.627426;126.745552;210.862656;146.374344;154.689453;138.467972;154.689453;145.639069;194.709061;136.027618;194.709061;183.000000;161.872314;183.000000;191.634415;183.881104;175.583618;182.361679;175.924515;135.340134;163.736740;127.421593;144.509033;131.199371;204.237518;127.616882;183.241028;165.491776;176.690628
1328;-36.082340;0.000000;-0.078883;0.096538;1.425000;-16.790945;141.920029;163.963028;141.465073;145.397675;139.969116;205.398529;141.361481;183.998276;143.199005;155.618484;126.541031;210.853561;146.214142;154.680344;138.310257;154.680344;145.421127;194.698395;135.824036;194.698395;182.000000;161.850479;182.000000;191.626633;182.359543;168.900421;182.335480;175.914322;135.169022;163.736435;127.269745;144.505920;130.992767;204.219543;127.386398;183.226395;165.417831;176.669922
1359;-41.716713;0.000000;-0.079281;0.091665;1.550000;-13.767686;141.835724;163.973740;141.587692;145.404495;139.806503;205.388306;141.195068;184.008987;143.123627;156.629196;128.372269;216.864273;146.137970;154.689117;138.234116;154.689117;145.244370;194.698654;135.640579;194.698654;182.000000;161.802612;182.000000;191.563461;182.327332;168.793884;182.168732;175.874283;135.089874;163.773987;127.223160;144.515717;130.831619;204.224075;127.213112;183.244186;165.203201;176.599747
1406;-39.716316;0.000000;-0.079369;0.091250;1.400000;-17.135572;141.815735;164.016357;141.571457;145.477646;139.775421;205.452332;141.182083;184.069778;143.099838;156.675583;126.385178;210.916855;146.117310;154.747009;138.212524;154.747009;145.263519;194.761047;135.618179;194.761047;183.000000;161.880661;183.000000;191.585800;184.242096;174.897964;182.138260;175.925873;135.054443;163.816650;127.163239;144.524445;130.809494;204.329727;127.171852;183.317047;165.203339;176.655426
1437;-42.965881;0.000000;-0.078879;0.090085;1.525000;-13.648586;141.851532;164.053818;141.512466;145.526199;139.811218;205.500885;141.154785;184.108398;143.039093;156.733047;128.420975;216.965408;146.062042;154.790009;138.157379;154.790009;145.245163;194.804642;135.653976;194.804642;182.000000;161.933090;182.000000;191.583466;182.818466;169.037613;182.120743;175.936417;135.003113;163.852219;127.105995;144.537460;130.806427;204.337112;127.164932;183.360703;165.174530;176.660477
1468;-45.327232;0.000000;-0.078536;0.089123;1.525000;-13.639632;141.847519;164.058044;141.516022;145.530426;139.804382;205.503708;141.147568;184.106201;143.033051;156.737274;128.426437;216.963272;146.058945;154.794235;138.150574;154.794235;145.237335;194.804962;135.659439;194.804962;183.000000;161.998718;183.000000;191.631058;184.654953;174.979126;182.148926;175.980728;134.990509;163.860535;127.102760;144.534241;130.800003;204.341873;127.142654;183.372589;165.194778;176.697983
1500;-46.610600;0.000000;-0.078260;0.088203;1.525000;-13.642080;141.857605;164.040543;141.540909;145.519333;139.820786;205.490585;141.163971;184.093887;143.052170;156.726181;128.442841;216.952179;146.082855;154.779938;138.176453;154.779938;145.253738;194.792236;135.675842;194.792236;183.000000;162.021713;183.000000;191.529678;184.620193;174.835724;182.109344;175.954773;134.997452;163.849655;127.095444;144.498047;130.726440;204.344208;127.116104;183.378265;165.192993;176.698669
1546;-43.065716;0.000000;-0.077658;0.087281;1.425000;-17.653107;141.829971;163.999176;141.564941;145.547012;139.797089;205.474762;141.187988;184.053818;143.032440;156.698196;125.466866;211.924194;146.064926;154.773102;138.154633;154.773102;145.277756;194.764282;135.648483;194.764282;183.000000;161.950958;183.000000;191.383789;184.634583;174.894913;182.135635;175.886810;134.971130;163.794830;127.049355;144.458664;130.712784;204.339798;127.066856;183.309402;165.204758;176.566666
1578;-41.296883;0.000000;-0.077107;0.086894;1.400000;-16.998737;141.815887;163.884003;141.555145;145.432785;139.783005;205.360535;141.210159;183.881699;143.023651;156.613464;126.480537;210.756943;146.050842;154.658401;138.140549;154.658401;145.263672;194.621124;135.634399;194.621124;182.000000;161.915436;182.000000;191.318146;183.072922;168.653549;182.084000;175.765427;134.982224;163.684860;127.040741;144.391525;130.752701;204.062180;127.168976;183.187241;165.157928;176.415802
1625;-39.673210;0.000000;-0.076925;0.096226;1.425000;-17.672813;141.840927;163.663879;141.535614;145.293289;139.763489;205.253876;141.190628;183.690521;143.054123;155.422836;125.461014;210.669647;146.031326;154.478577;138.121033;154.478577;145.283035;194.472198;135.644287;194.472198;182.000000;161.904526;182.000000;191.273178;183.108032;168.767960;182.054581;175.740082;135.004303;163.445251;127.072205;144.203873;130.759460;203.947647;127.152672;182.967865;165.164841;176.345016
