797;0.000000;0.000000;-107374176.000000;-107374176.000000;-107374176.000000;-1.#IND00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00
1375;0.000000;0.000000;-107374176.000000;-107374176.000000;-107374176.000000;-1.#IND00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00
2000;0.000000;0.000000;0.000000;0.000000;1.000000;-1.169732;183.000000;333.000000;183.000000;317.000000;182.000000;382.000000;182.000000;366.000000;183.000000;325.000000;182.000000;374.000000;186.000000;325.000000;180.000000;325.000000;185.000000;374.000000;179.000000;374.000000;227.000000;328.000000;227.000000;369.000000;235.000000;348.000000;220.000000;348.000000;174.000000;333.000000;173.000000;317.000000;172.000000;382.000000;171.000000;366.000000;215.000000;349.000000
2078;-4.008405;0.000000;-0.000052;0.000000;1.000000;-1.168095;183.001709;332.993561;183.001846;317.006500;182.003326;381.993561;181.995972;365.993561;183.001724;326.003571;182.003326;374.993561;186.003250;325.000031;180.003250;325.000031;185.003326;373.993561;179.003326;373.993561;227.000000;327.973358;227.000000;369.003357;234.999054;347.994598;219.998672;347.984375;174.002945;333.001129;173.001190;317.002930;171.984863;381.984619;170.993362;365.993195;214.994507;348.982635
2172;-4.027648;0.000000;-0.019870;-0.001370;0.979167;-1.264804;182.956863;333.044342;183.054245;317.057281;181.943558;382.057709;181.917587;366.044342;183.972748;327.029663;182.934784;374.065765;185.962952;325.050812;179.974579;325.050812;184.916672;374.051025;178.940201;374.051025;227.000000;328.092651;227.000000;369.160675;234.930954;348.071014;219.946533;348.150818;173.957016;333.005127;172.978210;317.008331;171.936417;382.007813;170.933533;366.020599;214.942398;349.153625
2250;-4.017903;0.000000;0.001016;-0.001256;0.979167;-0.039573;182.923798;333.037811;183.037796;317.051178;181.930038;382.050476;181.884964;366.039124;182.951233;327.023865;182.918762;374.060272;185.938599;325.044495;179.958771;325.044495;184.896072;374.044800;178.926437;374.044800;227.000000;328.157745;227.000000;369.288361;234.872406;348.095062;219.911423;348.252655;173.930862;333.005554;172.960464;317.009674;171.923096;382.009491;170.901627;366.040985;214.915283;349.249908
2328;-3.987030;0.000000;0.002544;-0.004760;0.979167;-1.301634;182.887054;333.163025;183.003418;317.177734;181.859009;382.213074;181.817169;366.239288;182.912491;327.146332;181.843246;374.228485;185.989624;325.170380;179.925705;325.170380;184.825928;374.226196;178.861374;374.226196;227.000000;328.255127;227.000000;369.585510;234.788544;348.256775;219.866852;348.514862;173.901123;333.139160;172.939529;317.145142;171.856155;382.157043;170.830139;366.229706;214.874390;349.513275
2407;-4.002876;0.000000;0.002289;-0.007090;0.979167;-1.190383;182.851715;333.238129;182.970718;317.243652;181.778030;382.298492;181.874695;366.389557;182.879456;327.216797;181.900772;374.340302;186.060272;325.240906;179.885056;325.240906;184.883453;374.344025;178.918900;374.344025;227.000000;328.366882;227.000000;369.829987;234.680420;348.328949;219.704590;348.727997;173.849960;333.201721;172.888321;317.204193;171.771744;382.203552;170.714462;366.326324;214.722198;349.750305
2532;-4.049328;0.000000;0.003258;-0.010310;0.979167;-1.179738;182.803680;333.299408;182.920258;317.304443;181.738541;382.436096;181.831924;366.497314;182.829575;327.276154;181.857681;374.494904;185.992737;325.301941;179.847107;325.301941;184.842117;374.466705;178.895096;374.466705;227.000000;328.408905;227.000000;369.899536;234.560944;348.384277;219.571014;348.819580;173.817627;333.277863;172.856842;317.279388;171.758759;382.310669;170.694427;366.491394;214.583939;349.849731
2625;-4.074192;0.000000;0.004390;-0.010021;0.979167;-1.199477;182.754944;333.288849;182.873810;317.290527;181.673279;382.415131;181.772339;366.483398;182.783340;327.262238;181.795181;374.480988;186.045624;325.289673;179.789246;325.289673;184.770416;374.449280;178.822098;374.449280;227.000000;328.423523;227.000000;369.942688;234.544586;348.399719;219.557510;348.846008;173.750504;333.246063;172.782425;317.243896;171.681717;382.281952;170.617065;366.443359;214.575058;349.864899
2703;-6.064972;0.000000;0.003677;0.000000;1.000000;-1.173288;182.789185;333.401978;182.908051;317.392548;181.707520;382.576263;181.715729;366.639740;182.817581;327.366943;181.829422;375.639954;186.067673;325.397278;179.823486;325.397278;184.804657;374.608002;178.772842;374.608002;226.000000;328.462830;226.000000;370.175262;234.367401;348.416931;219.389923;348.980682;173.752090;333.367188;172.794388;317.371582;171.639679;382.423004;170.585861;366.601929;214.407639;350.028961
2782;-6.021479;0.000000;0.006664;0.000000;1.000000;-1.270303;182.695831;333.487579;182.806625;317.544373;181.536270;382.784119;181.538452;366.868439;182.716660;327.444061;181.643631;375.858582;186.196350;325.515961;179.723358;325.515961;184.600143;374.826294;178.599701;374.826294;226.000000;328.505890;226.000000;370.357605;234.181458;348.408112;219.219772;349.028900;173.646820;333.445282;172.684723;317.449219;171.482834;382.597321;170.404800;366.789886;214.237152;350.112152
2860;-5.980584;0.000000;0.008629;0.000000;1.000000;-1.304993;182.622284;333.605713;182.723694;317.662506;181.425781;382.902252;181.443008;367.043182;182.636978;327.562195;181.534637;375.976715;186.277634;325.634125;179.666046;325.634125;184.494385;374.972717;178.528275;374.972717;226.000000;328.617462;226.000000;370.616089;233.913010;348.452515;218.957733;349.182556;173.605347;333.522766;172.638733;317.523895;171.417007;382.762787;170.331131;366.938568;213.991623;350.282715
2938;-3.937221;0.000000;0.005727;-0.009196;0.979167;-1.386104;182.573654;333.709656;182.668945;317.766449;181.328323;383.006195;181.384232;367.215118;182.580261;327.666138;181.433563;375.080658;186.341492;325.738068;179.617722;325.738068;184.416473;375.110657;178.443253;375.110657;226.000000;328.531982;226.000000;370.692627;233.739487;348.379028;218.817123;349.147644;173.556137;333.524628;172.585083;317.533752;171.341232;382.964630;170.274384;367.110321;213.857895;350.262665
3016;-3.793719;0.000000;0.007248;-0.009232;0.979167;-1.388040;182.504623;333.852570;182.604645;317.909332;181.262619;383.247650;181.331192;367.434692;182.508148;327.809052;181.359848;375.223572;186.402145;325.880951;179.551041;325.880951;184.359421;375.341187;178.380005;375.341187;226.000000;328.480133;226.000000;370.778625;233.546844;348.328827;218.666809;349.118500;173.486725;333.600861;172.510529;317.615784;171.296539;383.204926;170.224838;367.331573;213.722107;350.264801
3110;-5.171167;0.000000;0.008303;-0.008674;0.958333;-1.392743;182.492630;333.877808;182.616852;317.935242;181.274826;383.274261;181.313538;367.456055;182.499725;328.833160;181.372055;375.238739;186.414352;325.906525;179.541840;325.906525;184.371628;375.365173;178.392212;375.365173;226.000000;328.506287;226.000000;370.816437;233.557404;348.344879;218.681915;349.151031;173.472092;333.625824;172.502991;317.644531;171.270981;383.225494;170.204880;367.328888;213.741684;350.288971
